M,F,Fascia di eta,Stato civile,Titolo di studio,Attivita lavorativa,Numero dei componenti nucleo familiare,Siti internet frequentati maggiormente,Canali social frequentati abitualmente,Mezzi di informazione utilizzati in prevalenza,Principali hobby,Genere di film preferito,Sala cinematografica di riferimento,Criterio di scelta della sala cinematografica,Numero medio di film visti al cinema ogni mese,Abitualmente va al cinema,Influiscono sulla scelta dei film,Fonte principale di reperimento informazioni sui film,"Oltre che al cinema, preferisce vedere i film",Numero medio di libri letti in un anno,Numero medio di concerti visti in un anno,Numero medio di mostre viste in un anno,Numero medio di musei visitati in un anno,Numero medio di rappresentazioni teatrali viste in un anno,A quali attivita organizzate e promosse da Moovie Club per i propri iscritti  maggiormente interessato?
0,1,24 � 30,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Altro,Avventura,UCI,Qualit� di immagine e suono,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Nessuno,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,40 � 50,Coniugato/a  - convivente,Laurea,Lavoratore autonomo,2,"Cultura, cinema e spettacolo",Facebook,Televisione,Viaggi,Commedia,The Space,Facilit� di parcheggio,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,30 � 40,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,2,Notiziari,Facebook,Quotidiani stampa e periodici,Cinema e teatro,Avventura,UCI,Facilit� di parcheggio,Da 1 a 2,Con il partner,Le recensioni online e offline,Quotidiani stampa e periodici,Sui canali televisivi satellitari a pagamento,Nessuno,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,1,"Cultura, cinema e spettacolo",YouTube,"PC, tablet o smartphone",Viaggi,Azione,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Nessuna,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,18 � 24,Celibe - Nubile,Licenza media,Studente/ssa,1,"Moda, design e nuove tendenza",Instagram,"PC, tablet o smartphone",Altro,Romantico,Altra,Facilit� di parcheggio,Pi� di 2,Con gli amici,Le recensioni online e offline,Siti internet specializzati,Su PC o tablet attraverso digital download,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,,,,,,,,,,,,,,,,,,,,,,,
1,0,24 � 30,Celibe - Nubile,Laurea,Lavoratore dipendente,1,"Cultura, cinema e spettacolo",Instagram,Radio,Altro,Fantascienza,The Space,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Da solo,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Disoccupato/a,pi� di 3,Notiziari,Facebook,Televisione,Cinema e teatro,Thriller,UCI,Film programmati,Da 1 a 2,Con il partner,Il regista o il cast,Web,Sui canali televisivi in chiaro,Pi� di 3,Nessuno,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,0,oltre 50,Separato/a � divorziato/a non convivente,Laurea,Altro,pi� di 3,Notiziari,Facebook,"PC, tablet o smartphone",Altro,Commedia,UCI,Film programmati,Pi� di 2,Con partner e figli,Le recensioni online e offline,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",Instagram,Televisione,Cinema e teatro,Thriller,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuno,Da 1 a 3,Inviti gratuiti ad anteprime
